sample_id,feature_1,feature_2,feature_3,feature_4
1,2.5,1000.3,45.2,0.8
2,2.7,1050.1,46.1,0.9
3,2.3,950.5,44.8,0.75
4,8.2,2100.5,95.3,1.8
5,8.5,2150.2,96.4,1.9
6,8.1,2050.8,94.2,1.7
7,5.1,1550.3,70.5,1.3
8,5.3,1600.1,71.8,1.4
9,4.9,1500.2,69.1,1.25
10,2.6,1020.5,45.5,0.85
11,8.3,2120.2,95.8,1.85
12,5.0,1520.8,70.2,1.3
13,2.4,980.1,44.5,0.78
14,8.4,2130.8,96.1,1.88
15,5.2,1580.5,71.2,1.35
16,2.8,1080.3,46.8,0.95
17,8.0,2080.1,94.5,1.75
18,4.8,1480.2,68.8,1.2
19,2.5,1010.5,45.0,0.8
20,8.2,2110.3,95.5,1.82
21,5.1,1540.1,70.8,1.32
22,2.7,1040.8,46.2,0.92
23,8.3,2140.5,96.2,1.86
24,5.0,1510.3,70.0,1.28
25,2.4,990.2,44.3,0.76
26,8.1,2090.8,94.8,1.76
27,5.3,1610.5,72.0,1.4
28,2.6,1030.1,45.7,0.87
29,8.4,2150.2,96.5,1.9
30,5.1,1550.8,71.0,1.33
31,2.5,1015.3,45.1,0.82
32,8.2,2105.1,95.3,1.83
33,5.2,1570.3,71.5,1.37
34,2.8,1070.5,46.5,0.93
35,8.3,2125.8,96.0,1.87
36,4.9,1490.2,69.0,1.22
37,2.6,1025.8,45.3,0.84
38,8.1,2100.3,94.9,1.77
39,5.0,1530.1,70.5,1.31
40,2.7,1050.2,46.3,0.91
